id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,61,4.27,6,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,40,0.05,0,0
4,Tommy Setford,GK,Arsenal,39,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,73,5.99,6,90
6,William Saliba,DEF,Arsenal,62,4.85,8,90
7,Riccardo Calafiori,DEF,Arsenal,56,4.88,8,71
8,Jurriën Timber,DEF,Arsenal,60,0.64,0,0
10,Myles Lewis-Skelly,DEF,Arsenal,50,4.52,1,17
11,Benjamin White,DEF,Arsenal,51,0.0,0,0
13,Brayden Clarke,DEF,Arsenal,37,0.0,0,0
15,Josh Nichols,DEF,Arsenal,37,0.0,0,0
16,Bukayo Saka,MID,Arsenal,100,6.59,10,90
17,Martin Ødegaard,MID,Arsenal,78,4.21,3,90
18,Noni Madueke,MID,Arsenal,68,1.97,0,0
19,Gabriel Martinelli Silva,MID,Arsenal,68,1.54,1,1
20,Leandro Trossard,MID,Arsenal,65,5.02,3,90
21,Declan Rice,MID,Arsenal,72,5.4,5,90
22,Mikel Merino Zazón,MID,Arsenal,53,0.0,0,0
24,Christian Nørgaard,MID,Arsenal,51,0.26,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,49,1.08,1,1
27,Reiss Nelson,MID,Brentford,48,0.45,0,0
30,Kai Havertz,FWD,Arsenal,73,1.92,8,72
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.75,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,51,3.26,2,90
33,Marco Bizot,GK,Aston Villa,42,0.03,0,0
36,Matty Cash,DEF,Aston Villa,47,3.18,0,90
37,Lucas Digne,DEF,Aston Villa,45,2.68,4,90
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,2.68,1,90
39,Ian Maatsen,DEF,Aston Villa,42,1.59,1,5
40,Tyrone Mings,DEF,Aston Villa,43,0.64,0,0
41,Pau Torres,DEF,Aston Villa,43,2.6,4,90
42,Andrés García,DEF,Aston Villa,39,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,0.69,0,0
47,Morgan Rogers,MID,Aston Villa,74,3.82,12,90
48,Youri Tielemans,MID,Aston Villa,59,3.5,2,89
49,Leon Bailey,MID,Aston Villa,55,0.19,0,0
50,Emiliano Buendía Stati,MID,Aston Villa,53,3.76,2,84
52,Jacob Ramsey,MID,Newcastle,53,2.4,9,90
54,John McGinn,MID,Aston Villa,53,2.76,6,89
55,Ross Barkley,MID,Aston Villa,48,2.36,1,45
58,Boubacar Kamara,MID,Aston Villa,49,0.0,0,0
59,Amadou Onana,MID,Aston Villa,48,0.0,0,0
64,Ollie Watkins,FWD,Aston Villa,87,3.89,15,90
67,Đorđe Petrović,GK,Bournemouth,46,2.28,3,90
69,Callan McKenna,GK,Bournemouth,39,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,52,2.88,4,90
73,Adam Smith,DEF,Bournemouth,44,1.74,6,89
74,Adrien Truffert,DEF,Bournemouth,47,2.38,4,90
75,Matai Akinmboni,DEF,Bournemouth,38,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,38,0.0,0,0
77,James Hill,DEF,Bournemouth,42,2.92,1,90
80,Julio Soler Barreto,DEF,Bournemouth,39,0.0,0,0
81,Justin Kluivert,MID,Bournemouth,69,0.94,0,14
82,Antoine Semenyo,MID,Man City,81,4.4,1,55
83,Dango Ouattara,MID,Brentford,57,4.41,15,90
84,Marcus Tavernier,MID,Bournemouth,54,3.71,2,90
85,Tyler Adams,MID,Bournemouth,49,3.09,3,90
86,David Brooks,MID,Bournemouth,50,0.98,1,6
87,Ryan Christie,MID,Bournemouth,49,0.0,0,0
88,Lewis Cook,MID,Bournemouth,49,0.65,1,1
90,Alex Scott,MID,Bournemouth,50,3.93,4,90
97,Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,67,3.25,2,88
98,Enes Ünal,FWD,Bournemouth,54,0.65,1,1
100,Junior Kroupi,FWD,Bournemouth,46,3.35,8,75
101,Caoimhín Kelleher,GK,Brentford,48,3.66,2,90
102,Ellery Balcombe,GK,Brentford,39,0.0,0,0
