id,name,position,team,now_cost,expected_points,total_points
541,Reinildo Mandava,DEF,Sunderland,40,2.93,4
87,Ryan Christie,MID,Bournemouth,50,0.97,0
216,Zeki Amdouni,FWD,Burnley,48,0.0,0
612,Lucas Tolentino Coelho de Lima,MID,West Ham,59,3.97,-1
672,Jorrel Hato,DEF,Chelsea,47,0.25,0
133,Myles Peart-Harris,MID,Brentford,44,0.0,0
193,Bashir Humphreys,DEF,Burnley,40,0.08,0
203,Enock Agyei,MID,Burnley,48,0.0,0
306,Callum Bates,MID,Everton,44,0.01,0
289,Harry Tyrer,GK,Everton,39,0.0,0
574,Destiny Udogie,DEF,Spurs,44,1.61,0
529,Simon Moore,GK,Sunderland,39,0.0,0
593,Pape Matar Sarr,MID,Spurs,48,1.82,1
105,Hákon Rafn Valdimarsson,GK,Brentford,39,0.04,0
72,Marcos Senesi Barón,DEF,Bournemouth,50,4.36,2
386,Alexis Mac Allister,MID,Liverpool,63,3.48,3
643,André Trindade da Costa Neto,MID,Wolves,53,2.94,3
482,Harrison Ashby,DEF,Newcastle,39,0.02,0
323,Samuel Amissah,DEF,Fulham,39,0.06,0
326,Adama Traoré Diarra,MID,Fulham,52,1.25,0
166,Yasin Ayari,MID,Brighton,49,3.4,3
422,Mateo Kovačić,MID,Man City,59,0.0,0
310,Thierno Barry,FWD,Everton,57,3.27,2
608,Ollie Scarles,DEF,West Ham,44,0.0,0
410,Rico Lewis,DEF,Man City,48,0.75,0
350,Brenden Aaronson,MID,Leeds,54,2.94,1
561,Eliezer Mayenda Dossou,FWD,Sunderland,53,0.63,0
10,Myles Lewis-Skelly,DEF,Arsenal,51,0.88,0
633,Hugo Bueno López,DEF,Wolves,44,1.37,1
637,Toti Gomes,DEF,Wolves,43,1.65,4
267,Ismaïla Sarr,MID,Crystal Palace,67,4.76,1
406,Abdukodir Khusanov,DEF,Man City,54,0.74,0
690,Rio Cardines,MID,Crystal Palace,44,0.05,0
453,Alejandro Garnacho Ferreyra,MID,Chelsea,64,2.06,1
549,Dan Neil,MID,Sunderland,48,0.35,0
242,Kiernan Dewsbury-Hall,MID,Everton,49,3.65,7
478,Kieran Trippier,DEF,Newcastle,50,0.0,0
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,55,3.24,1
477,Tino Livramento,DEF,Newcastle,49,3.25,2
320,Issa Diop,DEF,Fulham,43,0.3,0
599,Dane Scarlett,FWD,Spurs,43,0.04,0
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,4.0,8
265,Caleb Kporha,DEF,Crystal Palace,40,0.0,0
591,Archie Gray,MID,Spurs,48,0.33,1
552,Noah Sadiki,MID,Sunderland,50,2.57,2
415,Sávio Moreira de Oliveira,MID,Man City,69,0.92,0
106,Nathan Collins,DEF,Brentford,49,4.98,4
459,Manuel Ugarte Ribeiro,MID,Man Utd,47,0.6,0
473,Lewis Hall,DEF,Newcastle,52,3.57,5
230,Wesley Fofana,DEF,Chelsea,44,1.28,4
536,Leo Fuhr Hjelde,DEF,Sunderland,40,0.0,0
602,Krisztián Hegyi,GK,West Ham,39,0.0,0
270,Will Hughes,MID,Crystal Palace,48,0.98,1
456,Jadon Sancho,MID,Aston Villa,58,1.06,1
697,Amine Adli,MID,Bournemouth,54,1.19,7
575,Micky van de Ven,DEF,Spurs,48,3.4,0
606,Konstantinos Mavropanos,DEF,West Ham,44,0.93,3
631,Emmanuel Agbadou,DEF,Wolves,43,2.54,2
424,Oscar Bobb,MID,Man City,53,0.64,0
124,Jordan Henderson,MID,Brentford,50,3.16,8
329,Harry Wilson,MID,Fulham,52,2.97,10
684,Malick Thiaw,DEF,Newcastle,49,4.2,16
396,Trey Nyoni,MID,Liverpool,43,0.01,0
