id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,59,4.2,6,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,42,0.05,0,0
4,Tommy Setford,GK,Arsenal,39,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,63,0.0,0,0
6,William Saliba,DEF,Arsenal,60,0.49,0,0
7,Riccardo Calafiori,DEF,Arsenal,58,4.41,7,90
8,Jurriën Timber,DEF,Arsenal,64,4.5,1,46
10,Myles Lewis-Skelly,DEF,Arsenal,51,1.61,0,0
11,Benjamin White,DEF,Arsenal,53,0.44,14,90
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,0.6,0,0
13,Brayden Clarke,DEF,Arsenal,38,0.0,0,0
15,Josh Nichols,DEF,Arsenal,38,0.0,0,0
16,Bukayo Saka,MID,Arsenal,101,6.18,6,29
17,Martin Ødegaard,MID,Arsenal,78,2.62,3,90
18,Noni Madueke,MID,Arsenal,68,1.98,3,60
19,Gabriel Martinelli Silva,MID,Arsenal,68,0.52,3,60
20,Leandro Trossard,MID,Arsenal,69,0.77,0,0
21,Declan Rice,MID,Arsenal,70,4.66,3,82
22,Mikel Merino Zazón,MID,Arsenal,59,2.64,13,90
24,Christian Nørgaard,MID,Arsenal,52,0.23,0,0
25,Ethan Nwaneri,MID,Arsenal,51,0.95,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,53,3.08,3,90
27,Reiss Nelson,MID,Brentford,48,0.0,0,0
30,Kai Havertz,FWD,Arsenal,73,0.58,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.99,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,51,2.93,0,0
33,Marco Bizot,GK,Aston Villa,43,0.03,1,90
36,Matty Cash,DEF,Aston Villa,47,2.86,4,90
37,Lucas Digne,DEF,Aston Villa,45,2.97,1,20
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,2.71,1,90
39,Ian Maatsen,DEF,Aston Villa,42,1.05,1,69
