id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,62,2.74,0,0
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,40,0.87,2,90
4,Tommy Setford,GK,Arsenal,39,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,73,3.27,1,45
6,William Saliba,DEF,Arsenal,63,2.39,0,0
7,Riccardo Calafiori,DEF,Arsenal,56,1.02,1,45
8,Jurriën Timber,DEF,Arsenal,60,0.25,0,0
10,Myles Lewis-Skelly,DEF,Arsenal,50,2.37,2,90
11,Benjamin White,DEF,Arsenal,51,0.0,0,0
13,Brayden Clarke,DEF,Arsenal,37,0.0,0,0
15,Josh Nichols,DEF,Arsenal,37,0.0,0,0
16,Bukayo Saka,MID,Arsenal,100,2.42,0,0
17,Martin Ødegaard,MID,Arsenal,78,2.08,0,0
18,Noni Madueke,MID,Arsenal,68,3.58,11,83
19,Gabriel Martinelli Silva,MID,Arsenal,68,3.65,7,90
20,Leandro Trossard,MID,Arsenal,66,1.68,0,0
21,Declan Rice,MID,Arsenal,72,1.54,0,0
22,Mikel Merino Zazón,MID,Arsenal,53,0.0,1,28
24,Christian Nørgaard,MID,Arsenal,51,2.19,1,45
26,Martín Zubimendi Ibáñez,MID,Arsenal,49,2.44,2,90
27,Reiss Nelson,MID,Brentford,48,0.37,1,1
30,Kai Havertz,FWD,Arsenal,73,1.72,4,45
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,1.4,5,74
32,Emiliano Martínez Romero,GK,Aston Villa,50,0.11,0,0
33,Marco Bizot,GK,Aston Villa,42,2.13,2,90
36,Matty Cash,DEF,Aston Villa,46,0.86,1,45
37,Lucas Digne,DEF,Aston Villa,45,0.55,0,0
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,0.81,0,0
39,Ian Maatsen,DEF,Aston Villa,42,2.15,5,90
40,Tyrone Mings,DEF,Aston Villa,43,1.64,4,90
41,Pau Torres,DEF,Aston Villa,43,0.73,1,17
42,Andrés García,DEF,Aston Villa,39,1.54,1,45
44,Lamare Bogarde,DEF,Aston Villa,40,1.67,2,72
47,Morgan Rogers,MID,Aston Villa,73,1.29,0,0
48,Youri Tielemans,MID,Aston Villa,59,1.55,1,17
49,Leon Bailey,MID,Aston Villa,55,2.02,5,90
50,Emiliano Buendía Stati,MID,Aston Villa,53,1.88,6,90
52,Jacob Ramsey,MID,Newcastle,53,3.11,4,90
54,John McGinn,MID,Aston Villa,53,1.42,1,4
55,Ross Barkley,MID,Aston Villa,48,2.52,5,85
58,Boubacar Kamara,MID,Aston Villa,49,0.0,0,0
59,Amadou Onana,MID,Aston Villa,48,1.35,1,17
64,Ollie Watkins,FWD,Aston Villa,87,1.54,13,90
