id,name,position,team,now_cost,expected_points,total_points
541,Reinildo Mandava,DEF,Sunderland,38,3.17,-1
87,Ryan Christie,MID,Bournemouth,49,3.21,1
765,Leo Shahar,DEF,Newcastle,40,0.0,0
216,Zeki Amdouni,FWD,Burnley,48,0.0,0
612,Lucas Tolentino Coelho de Lima,MID,West Ham,59,0.0,0
672,Jorrel Hato,DEF,Chelsea,46,0.14,1
193,Bashir Humphreys,DEF,Burnley,39,2.53,1
92,Romain Faivre,MID,Bournemouth,45,0.0,0
203,Enock Agyei,MID,Burnley,47,0.0,0
306,Callum Bates,MID,Everton,43,0.01,0
574,Destiny Udogie,DEF,Spurs,43,1.65,1
529,Simon Moore,GK,Sunderland,39,0.0,0
593,Pape Matar Sarr,MID,Spurs,45,2.67,0
105,Hákon Rafn Valdimarsson,GK,Brentford,39,0.04,0
460,Toby Collyer,MID,Man Utd,45,0.0,0
72,Marcos Senesi Barón,DEF,Bournemouth,48,3.88,3
386,Alexis Mac Allister,MID,Liverpool,62,3.06,1
643,André Trindade da Costa Neto,MID,Wolves,53,2.04,1
323,Samuel Amissah,DEF,Fulham,38,0.06,0
326,Adama Traoré Diarra,MID,Fulham,51,0.48,0
166,Yasin Ayari,MID,Brighton,48,2.22,11
422,Mateo Kovačić,MID,Man City,59,0.0,0
310,Thierno Barry,FWD,Everton,57,3.6,9
608,Ollie Scarles,DEF,West Ham,43,1.41,5
410,Rico Lewis,DEF,Man City,46,2.03,0
350,Brenden Aaronson,MID,Leeds,54,3.43,4
561,Eliezer Mayenda Dossou,FWD,Sunderland,52,0.75,2
770,Seth Ridgeon,MID,Fulham,45,0.01,0
315,Steven Benda,GK,Fulham,40,0.0,0
10,Myles Lewis-Skelly,DEF,Arsenal,51,0.69,0
633,Hugo Bueno López,DEF,Wolves,43,2.03,1
637,Toti Gomes,DEF,Wolves,42,0.0,0
267,Ismaïla Sarr,MID,Crystal Palace,63,3.95,2
406,Abdukodir Khusanov,DEF,Man City,54,3.53,6
690,Rio Cardines,MID,Crystal Palace,44,0.04,0
453,Alejandro Garnacho Ferreyra,MID,Chelsea,64,2.18,0
549,Dan Neil,MID,Sunderland,48,0.11,0
242,Kiernan Dewsbury-Hall,MID,Everton,49,0.0,1
478,Kieran Trippier,DEF,Newcastle,49,2.93,1
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,55,0.65,0
477,Tino Livramento,DEF,Newcastle,49,0.0,0
320,Issa Diop,DEF,Fulham,43,0.18,0
599,Dane Scarlett,FWD,Spurs,43,0.04,1
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,2.83,6
265,Caleb Kporha,DEF,Crystal Palace,40,0.0,0
768,Leon Routh,DEF,Aston Villa,40,0.01,0
591,Archie Gray,MID,Spurs,48,2.89,1
552,Noah Sadiki,MID,Sunderland,49,2.82,3
415,Sávio Moreira de Oliveira,MID,Man City,69,0.0,0
