id,name,position,team,now_cost,expected_points,total_points
541,Reinildo Mandava,DEF,Sunderland,40,2.82,6
57,Lewis Dobbin,MID,Aston Villa,50,0.03,0
87,Ryan Christie,MID,Bournemouth,50,0.7,0
216,Zeki Amdouni,FWD,Burnley,50,0.0,0
612,Lucas Tolentino Coelho de Lima,MID,West Ham,60,4.53,2
672,Jorrel Hato,DEF,Chelsea,50,1.08,0
133,Myles Peart-Harris,MID,Brentford,45,0.03,0
391,Ben Gannon-Doak,MID,Liverpool,50,0.03,0
193,Bashir Humphreys,DEF,Burnley,40,0.34,0
92,Romain Faivre,MID,Bournemouth,45,0.04,0
203,Enock Agyei,MID,Burnley,50,0.05,0
306,Callum Bates,MID,Everton,45,0.01,0
289,Harry Tyrer,GK,Everton,40,0.0,0
184,Etienne Green,GK,Burnley,40,0.0,0
574,Destiny Udogie,DEF,Spurs,45,0.97,0
529,Simon Moore,GK,Sunderland,40,0.03,0
96,Ben Winterburn,MID,Bournemouth,45,0.09,1
592,Mikey Moore,MID,Spurs,50,0.0,0
593,Pape Matar Sarr,MID,Spurs,50,1.84,6
105,Hákon Rafn Valdimarsson,GK,Brentford,40,0.03,0
460,Toby Collyer,MID,Man Utd,45,0.06,0
72,Marcos Senesi Barón,DEF,Bournemouth,45,2.48,2
395,Tyler Morton,MID,Liverpool,45,0.0,0
386,Alexis Mac Allister,MID,Liverpool,65,3.48,5
643,André Trindade da Costa Neto,MID,Wolves,55,2.75,4
482,Harrison Ashby,DEF,Newcastle,40,0.04,0
323,Samuel Amissah,DEF,Fulham,40,1.48,0
563,Luís Hemir Silva Semedo,FWD,Sunderland,45,0.02,0
326,Adama Traoré Diarra,MID,Fulham,55,1.92,1
166,Yasin Ayari,MID,Brighton,50,3.11,3
422,Mateo Kovačić,MID,Man City,60,0.85,0
310,Thierno Barry,FWD,Everton,60,1.9,1
608,Ollie Scarles,DEF,West Ham,45,0.78,0
410,Rico Lewis,DEF,Man City,50,1.82,11
350,Brenden Aaronson,MID,Leeds,55,1.65,1
561,Eliezer Mayenda Dossou,FWD,Sunderland,55,3.23,8
315,Steven Benda,GK,Fulham,40,0.0,0
10,Myles Lewis-Skelly,DEF,Arsenal,55,2.83,0
633,Hugo Bueno López,DEF,Wolves,45,0.36,1
546,Milan Aleksić,MID,Sunderland,50,0.1,0
637,Toti Gomes,DEF,Wolves,45,2.31,0
267,Ismaïla Sarr,MID,Crystal Palace,65,3.73,3
406,Abdukodir Khusanov,DEF,Man City,55,0.58,1
432,André Onana,GK,Man Utd,50,1.98,0
453,Alejandro Garnacho Ferreyra,MID,Man Utd,65,0.0,0
549,Dan Neil,MID,Sunderland,50,0.76,0
242,Kiernan Dewsbury-Hall,MID,Everton,50,3.58,2
478,Kieran Trippier,DEF,Newcastle,50,1.27,6
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,55,2.37,1
477,Tino Livramento,DEF,Newcastle,50,2.44,9
320,Issa Diop,DEF,Fulham,45,0.74,0
465,Rasmus Højlund,FWD,Man Utd,65,1.51,0
599,Dane Scarlett,FWD,Spurs,45,0.04,0
38,Ezri Konsa Ngoyo,DEF,Aston Villa,45,3.02,3
265,Caleb Kporha,DEF,Crystal Palace,40,0.0,0
591,Archie Gray,MID,Spurs,50,1.41,3
552,Noah Sadiki,MID,Sunderland,50,2.79,3
415,Sávio Moreira de Oliveira,MID,Man City,70,0.0,0
106,Nathan Collins,DEF,Brentford,50,3.36,0
459,Manuel Ugarte Ribeiro,MID,Man Utd,50,1.18,1
473,Lewis Hall,DEF,Newcastle,55,2.61,0
230,Wesley Fofana,DEF,Chelsea,45,1.09,0
333,Martial Godo,MID,Fulham,45,0.13,0
536,Leo Fuhr Hjelde,DEF,Sunderland,40,0.0,0
602,Krisztián Hegyi,GK,West Ham,40,0.0,0
270,Will Hughes,MID,Crystal Palace,50,2.45,2
456,Jadon Sancho,MID,Man Utd,60,0.0,0
