id,name,position,team,now_cost,expected_points,total_points
541,Reinildo Mandava,DEF,Sunderland,38,2.24,8
805,Lorenzo Lucca,FWD,Nott'm Forest,54,0.95,1
87,Ryan Christie,MID,Bournemouth,49,1.67,-2
765,Leo Shahar,DEF,Newcastle,40,0.0,0
216,Zeki Amdouni,FWD,Burnley,48,0.29,1
672,Jorrel Hato,DEF,Chelsea,46,1.2,3
193,Bashir Humphreys,DEF,Burnley,39,2.52,0
203,Enock Agyei,MID,Burnley,47,0.0,0
306,Callum Bates,MID,Everton,43,0.01,0
574,Destiny Udogie,DEF,Spurs,43,3.05,2
529,Simon Moore,GK,Sunderland,39,0.0,0
829,Jesse Derry,MID,Chelsea,45,0.0,0
593,Pape Matar Sarr,MID,Spurs,45,1.19,0
105,Hákon Rafn Valdimarsson,GK,Brentford,38,0.02,0
822,Jaydon Jones,MID,Sunderland,45,0.0,0
72,Marcos Senesi Barón,DEF,Bournemouth,52,3.96,8
817,Adam Armstrong,FWD,Wolves,52,2.99,2
386,Alexis Mac Allister,MID,Liverpool,62,3.32,1
643,André Trindade da Costa Neto,MID,Wolves,52,2.75,1
323,Samuel Amissah,DEF,Fulham,38,0.06,0
326,Adama Traoré Diarra,MID,West Ham,51,0.89,0
166,Yasin Ayari,MID,Brighton,48,1.54,1
422,Mateo Kovačić,MID,Man City,58,1.22,0
422,Mateo Kovačić,MID,Man City,58,1.22,1
310,Thierno Barry,FWD,Everton,57,1.46,1
608,Ollie Scarles,DEF,West Ham,43,0.3,0
410,Rico Lewis,DEF,Man City,46,0.14,0
410,Rico Lewis,DEF,Man City,46,0.14,0
350,Brenden Aaronson,MID,Leeds,54,3.58,2
561,Eliezer Mayenda Dossou,FWD,Sunderland,51,0.46,1
770,Seth Ridgeon,MID,Fulham,45,0.01,0
10,Myles Lewis-Skelly,DEF,Arsenal,50,3.11,6
633,Hugo Bueno López,DEF,Wolves,43,1.91,0
546,Milan Aleksić,MID,Sunderland,49,0.03,0
637,Toti Gomes,DEF,Wolves,42,0.93,3
267,Ismaïla Sarr,MID,Crystal Palace,64,5.86,7
267,Ismaïla Sarr,MID,Crystal Palace,64,5.86,1
406,Abdukodir Khusanov,DEF,Man City,54,6.98,0
406,Abdukodir Khusanov,DEF,Man City,54,6.98,6
690,Rio Cardines,MID,Crystal Palace,44,0.09,0
690,Rio Cardines,MID,Crystal Palace,44,0.09,0
453,Alejandro Garnacho Ferreyra,MID,Chelsea,64,0.98,0
832,Talla Ndiaye,DEF,Liverpool,40,0.0,0
808,Tammy Abraham,FWD,Aston Villa,58,1.42,0
242,Kiernan Dewsbury-Hall,MID,Everton,52,4.09,5
478,Kieran Trippier,DEF,Newcastle,49,3.13,1
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,55,1.24,3
477,Tino Livramento,DEF,Newcastle,49,0.0,0
320,Issa Diop,DEF,Fulham,43,0.28,1
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,3.5,1
265,Caleb Kporha,DEF,Crystal Palace,40,0.0,0
265,Caleb Kporha,DEF,Crystal Palace,40,0.0,0
768,Leon Routh,DEF,Aston Villa,40,0.01,0
591,Archie Gray,MID,Spurs,48,0.84,0
552,Noah Sadiki,MID,Sunderland,49,2.58,5
415,Sávio Moreira de Oliveira,MID,Man City,69,1.83,1
415,Sávio Moreira de Oliveira,MID,Man City,69,1.83,9
106,Nathan Collins,DEF,Brentford,49,2.24,1
459,Manuel Ugarte Ribeiro,MID,Man Utd,47,0.7,0
473,Lewis Hall,DEF,Newcastle,53,1.73,2
230,Wesley Fofana,DEF,Chelsea,44,0.64,5
270,Will Hughes,MID,Crystal Palace,47,3.74,0
270,Will Hughes,MID,Crystal Palace,47,3.74,1
456,Jadon Sancho,MID,Aston Villa,58,1.1,0
697,Amine Adli,MID,Bournemouth,54,1.17,1
575,Micky van de Ven,DEF,Spurs,44,3.81,2
606,Konstantinos Mavropanos,DEF,West Ham,45,3.42,4
424,Oscar Bobb,MID,Fulham,51,1.83,1
124,Jordan Henderson,MID,Brentford,50,1.05,0
329,Harry Wilson,MID,Fulham,59,4.24,2
799,Charlie Stevens,MID,Bournemouth,45,0.01,0
684,Malick Thiaw,DEF,Newcastle,49,3.59,2
788,Godwill Kukonki,DEF,Man Utd,40,0.0,0
396,Trey Nyoni,MID,Liverpool,43,0.01,0
824,Conor McManus,DEF,Brentford,40,0.0,0
813,Nilson Angulo,MID,Sunderland,50,0.56,1
816,Angel Gomes,MID,Wolves,46,1.93,1
766,Saheed Olagunju,DEF,Wolves,40,0.01,0
709,Ladislav Krejcí,DEF,Wolves,45,1.92,0
228,Malo Gusto,DEF,Chelsea,48,2.49,2
826,Riley Owen,MID,Brentford,45,0.0,0
418,Jérémy Doku,MID,Man City,65,8.17,11
418,Jérémy Doku,MID,Man City,65,8.17,1
345,Sebastiaan Bornauw,DEF,Leeds,38,0.1,1
274,Asher Agbinone,MID,Crystal Palace,43,0.03,0
274,Asher Agbinone,MID,Crystal Palace,43,0.03,0
502,Matz Sels,GK,Nott'm Forest,46,2.99,3
713,Álex Jiménez Sánchez,DEF,Bournemouth,45,0.0,0
658,Nathan Fraser,FWD,Wolves,42,0.01,0
302,Idrissa Gana Gueye,MID,Everton,54,0.98,0
276,Justin Devenny,MID,Crystal Palace,43,0.83,0
276,Justin Devenny,MID,Crystal Palace,43,0.83,0
341,Karl Darlow,GK,Leeds,40,2.76,2
100,Junior Kroupi,FWD,Bournemouth,46,3.7,2
544,Habib Diarra,MID,Sunderland,53,2.83,0
567,Antonín Kinský,GK,Spurs,39,3.57,3
67,Đorđe Petrović,GK,Bournemouth,46,2.94,6
600,Alphonse Areola,GK,West Ham,42,0.03,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,72,4.68,11
784,George Brierley,MID,Burnley,45,0.0,0
680,Armando Broja,FWD,Burnley,52,0.73,0
229,Benoît Badiashile Mukinayi,DEF,Chelsea,44,0.45,0
764,Reigan Heskey,MID,Man City,45,0.03,0
764,Reigan Heskey,MID,Man City,45,0.03,0
644,Jean-Ricner Bellegarde,MID,Wolves,51,1.83,1
507,Ola Aina,DEF,Nott'm Forest,47,0.0,0
387,Dominik Szoboszlai,MID,Liverpool,70,5.22,2
761,Freddie Simmonds,DEF,Brighton,40,0.01,0
401,Marcus Bettinelli,GK,Man City,38,0.0,0
401,Marcus Bettinelli,GK,Man City,38,0.0,0
613,Tomáš Souček,MID,West Ham,57,2.9,2
419,Jack Grealish,MID,Everton,63,0.0,0
356,Ilia Gruev,MID,Leeds,47,0.0,0
392,Endo Wataru,MID,Liverpool,49,0.0,0
727,Samuel Chukwueze,MID,Fulham,53,2.77,2
776,Oliver Pimlott,MID,Burnley,45,0.0,0
173,Mats Wieffer,MID,Brighton,49,1.92,0
568,Pedro Porro Sauceda,DEF,Spurs,52,4.67,1
271,Daichi Kamada,MID,Crystal Palace,50,3.33,2
271,Daichi Kamada,MID,Crystal Palace,50,3.33,0
243,Tyrique George,MID,Everton,48,0.61,1
792,Alysson Edward Franco da Rocha dos Santos,MID,Aston Villa,50,0.51,0
469,Nick Pope,GK,Newcastle,50,2.86,3
353,Daniel James,MID,Leeds,52,0.59,2
554,Abdoullah Ba,MID,Sunderland,43,0.0,0
214,Mike Trésor Ndayishimiye,MID,Burnley,43,0.22,0
823,Joshua Stephenson,DEF,Brentford,40,0.0,0
300,Dwight McNeil,MID,Everton,55,3.18,0
52,Jacob Ramsey,MID,Newcastle,53,0.97,4
721,Veljko Milosavljevic,DEF,Bournemouth,44,0.5,0
651,Tom Edozie,MID,Wolves,43,0.0,0
307,Coby Ebere,MID,Everton,44,0.01,0
738,Lukasz Fabianski,GK,West Ham,45,0.0,0
59,Amadou Onana,MID,Aston Villa,48,3.17,0
