id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,59,4.5,1,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,42,0.05,0,0
4,Tommy Setford,GK,Arsenal,40,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,66,5.73,1,90
6,William Saliba,DEF,Arsenal,60,5.08,1,90
7,Riccardo Calafiori,DEF,Arsenal,58,4.55,1,90
8,Jurriën Timber,DEF,Arsenal,61,4.79,1,90
10,Myles Lewis-Skelly,DEF,Arsenal,52,1.11,0,0
11,Benjamin White,DEF,Arsenal,53,0.72,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,0.0,0,0
13,Brayden Clarke,DEF,Arsenal,39,0.0,0,0
15,Josh Nichols,DEF,Arsenal,39,0.0,0,0
16,Bukayo Saka,MID,Arsenal,101,6.29,12,90
17,Martin Ødegaard,MID,Arsenal,78,0.0,0,0
18,Noni Madueke,MID,Arsenal,68,0.0,0,0
19,Gabriel Martinelli Silva,MID,Arsenal,68,0.0,0,0
20,Leandro Trossard,MID,Arsenal,69,5.12,9,90
21,Declan Rice,MID,Arsenal,68,4.48,2,90
22,Mikel Merino Zazón,MID,Arsenal,59,5.04,5,90
24,Christian Nørgaard,MID,Arsenal,52,0.87,0,0
25,Ethan Nwaneri,MID,Arsenal,52,1.92,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,54,3.4,5,90
27,Reiss Nelson,MID,Brentford,48,0.18,1,1
30,Kai Havertz,FWD,Arsenal,73,0.0,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.0,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,50,3.35,14,90
33,Marco Bizot,GK,Aston Villa,43,0.03,0,0
36,Matty Cash,DEF,Aston Villa,46,3.57,6,90
37,Lucas Digne,DEF,Aston Villa,45,3.53,9,90
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,3.27,6,90
39,Ian Maatsen,DEF,Aston Villa,43,0.61,0,0
40,Tyrone Mings,DEF,Aston Villa,44,0.0,0,0
41,Pau Torres,DEF,Aston Villa,43,3.31,6,90
42,Andrés García,DEF,Aston Villa,39,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,1.02,1,9
45,Lino da Cruz Sousa,DEF,Aston Villa,39,0.01,0,0
47,Morgan Rogers,MID,Aston Villa,68,4.2,2,85
48,Youri Tielemans,MID,Aston Villa,59,0.0,4,19
50,Emiliano Buendía Stati,MID,Aston Villa,53,1.64,11,70
52,Jacob Ramsey,MID,Newcastle,53,0.73,2,66
53,Donyell Malen,MID,Aston Villa,51,3.21,6,9
54,John McGinn,MID,Aston Villa,54,3.2,3,70
55,Ross Barkley,MID,Aston Villa,48,0.82,6,19
58,Boubacar Kamara,MID,Aston Villa,49,2.89,2,80
59,Amadou Onana,MID,Aston Villa,48,2.95,9,70
60,Ben Broggio,MID,Aston Villa,45,0.01,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
