id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,60,3.64,10,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,40,0.05,0,0
4,Tommy Setford,GK,Arsenal,39,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,71,4.95,8,90
6,William Saliba,DEF,Arsenal,61,3.9,7,90
7,Riccardo Calafiori,DEF,Arsenal,56,0.82,0,0
8,Jurriën Timber,DEF,Arsenal,61,0.0,0,0
10,Myles Lewis-Skelly,DEF,Arsenal,50,0.71,1,9
11,Benjamin White,DEF,Arsenal,51,3.61,6,90
13,Brayden Clarke,DEF,Arsenal,37,0.0,0,0
15,Josh Nichols,DEF,Arsenal,37,0.0,0,0
16,Bukayo Saka,MID,Arsenal,98,2.18,1,9
17,Martin Ødegaard,MID,Arsenal,78,3.98,3,90
18,Noni Madueke,MID,Arsenal,68,3.9,3,80
19,Gabriel Martinelli Silva,MID,Arsenal,68,1.02,0,37
20,Leandro Trossard,MID,Arsenal,65,1.27,0,0
21,Declan Rice,MID,Arsenal,72,5.13,2,90
22,Mikel Merino Zazón,MID,Arsenal,54,0.0,0,0
24,Christian Nørgaard,MID,Arsenal,51,0.54,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,50,3.35,5,80
27,Reiss Nelson,MID,Brentford,48,1.11,4,17
30,Kai Havertz,FWD,Arsenal,73,4.33,4,33
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.44,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,51,3.22,3,90
33,Marco Bizot,GK,Aston Villa,42,0.03,0,0
36,Matty Cash,DEF,Aston Villa,47,3.29,2,90
37,Lucas Digne,DEF,Aston Villa,45,3.02,2,90
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,2.84,2,90
39,Ian Maatsen,DEF,Aston Villa,42,1.5,0,0
40,Tyrone Mings,DEF,Aston Villa,43,0.81,0,0
41,Pau Torres,DEF,Aston Villa,43,2.57,1,90
42,Andrés García,DEF,Aston Villa,39,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,0.56,2,73
47,Morgan Rogers,MID,Aston Villa,74,4.06,2,90
48,Youri Tielemans,MID,Aston Villa,59,3.52,2,73
49,Leon Bailey,MID,Aston Villa,55,0.18,1,16
50,Emiliano Buendía Stati,MID,Aston Villa,53,2.37,2,73
52,Jacob Ramsey,MID,Newcastle,53,2.22,2,90
54,John McGinn,MID,Aston Villa,53,3.23,2,73
55,Ross Barkley,MID,Aston Villa,48,2.47,1,16
58,Boubacar Kamara,MID,Aston Villa,49,0.0,0,0
59,Amadou Onana,MID,Aston Villa,48,2.76,0,0
64,Ollie Watkins,FWD,Aston Villa,87,4.07,2,79
83,Dango Ouattara,MID,Brentford,59,3.57,1,90
101,Caoimhín Kelleher,GK,Brentford,48,2.99,2,90
102,Ellery Balcombe,GK,Brentford,39,0.0,0,0
104,Julian Eyestone,GK,Brentford,39,0.0,0,0
105,Hákon Rafn Valdimarsson,GK,Brentford,38,0.03,0,0
106,Nathan Collins,DEF,Brentford,49,3.07,2,90
107,Keane Lewis-Potter,DEF,Brentford,48,2.75,1,90
108,Kristoffer Ajer,DEF,Brentford,44,1.98,0,0
109,Rico Henry,DEF,Brentford,43,0.0,0,0
110,Michael Kayode,DEF,Brentford,46,2.64,1,90
111,Ethan Pinnock,DEF,Brentford,42,0.44,0,0
113,Sepp van den Berg,DEF,Brentford,46,2.93,0,90
116,Aaron Hickey,DEF,Brentford,40,1.05,0,0
119,Bryan Mbeumo,MID,Man Utd,85,4.57,3,73
120,Kevin Schade,MID,Brentford,70,3.63,2,72
121,Mikkel Damsgaard,MID,Brentford,56,3.78,2,90
122,Antoni Milambo,MID,Brentford,52,0.0,0,0
123,Fábio Freitas Gouveia Carvalho,MID,Brentford,46,0.0,0,0
124,Jordan Henderson,MID,Brentford,50,0.0,0,0
125,Vitaly Janelt,MID,Brentford,49,0.0,0,0
126,Mathias Jensen,MID,Brentford,49,3.6,10,90
129,Yehor Yarmoliuk,MID,Brentford,50,3.12,4,90
130,Romelle Donovan,MID,Brentford,44,0.21,0,0
135,Yoane Wissa,FWD,Newcastle,73,0.57,1,24
136,Igor Thiago Nascimento Rodrigues,FWD,Brentford,74,4.17,1,90
242,Kiernan Dewsbury-Hall,MID,Everton,51,3.94,8,90
243,Tyrique George,MID,Everton,48,1.29,1,25
253,Dean Henderson,GK,Crystal Palace,51,2.35,0,90
254,Walter Benítez,GK,Crystal Palace,39,0.02,0,0
255,Remi Matthews,GK,Crystal Palace,39,0.0,0,0
256,Daniel Muñoz Mejía,DEF,Crystal Palace,58,3.1,6,90
257,Maxence Lacroix,DEF,Crystal Palace,51,3.3,3,90
