id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,60,3.98,1,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,41,0.05,0,0
4,Tommy Setford,GK,Arsenal,39,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,65,5.11,9,90
6,William Saliba,DEF,Arsenal,59,4.21,1,90
7,Riccardo Calafiori,DEF,Arsenal,57,0.0,0,0
8,Jurriën Timber,DEF,Arsenal,64,4.67,3,90
10,Myles Lewis-Skelly,DEF,Arsenal,51,1.8,0,0
11,Benjamin White,DEF,Arsenal,51,0.46,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,1.06,0,0
13,Brayden Clarke,DEF,Arsenal,38,0.0,0,0
15,Josh Nichols,DEF,Arsenal,38,0.0,0,0
16,Bukayo Saka,MID,Arsenal,103,5.71,4,23
17,Martin Ødegaard,MID,Arsenal,78,4.1,7,79
18,Noni Madueke,MID,Arsenal,68,1.31,2,66
19,Gabriel Martinelli Silva,MID,Arsenal,68,0.78,5,66
20,Leandro Trossard,MID,Arsenal,70,2.36,1,23
21,Declan Rice,MID,Arsenal,71,2.43,17,90
22,Mikel Merino Zazón,MID,Arsenal,58,3.9,1,10
24,Christian Nørgaard,MID,Arsenal,51,0.26,0,0
25,Ethan Nwaneri,MID,Arsenal,50,0.54,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,52,3.12,3,90
27,Reiss Nelson,MID,Brentford,48,1.42,0,0
30,Kai Havertz,FWD,Arsenal,73,1.03,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.51,1,24
32,Emiliano Martínez Romero,GK,Aston Villa,50,3.56,3,90
33,Marco Bizot,GK,Aston Villa,42,0.03,0,0
36,Matty Cash,DEF,Aston Villa,48,3.91,5,89
37,Lucas Digne,DEF,Aston Villa,45,1.24,1,21
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,3.66,2,90
39,Ian Maatsen,DEF,Aston Villa,42,3.91,2,68
40,Tyrone Mings,DEF,Aston Villa,43,0.43,0,0
41,Pau Torres,DEF,Aston Villa,43,0.45,0,0
42,Andrés García,DEF,Aston Villa,39,0.0,1,1
44,Lamare Bogarde,DEF,Aston Villa,40,1.93,0,7
45,Lino da Cruz Sousa,DEF,Aston Villa,39,0.01,0,0
47,Morgan Rogers,MID,Aston Villa,75,4.44,5,90
