id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,60,3.8,6,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,41,0.05,0,0
4,Tommy Setford,GK,Arsenal,39,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,66,5.26,6,90
6,William Saliba,DEF,Arsenal,59,4.06,7,90
7,Riccardo Calafiori,DEF,Arsenal,56,0.0,0,0
8,Jurriën Timber,DEF,Arsenal,63,4.35,6,90
10,Myles Lewis-Skelly,DEF,Arsenal,51,1.12,1,33
11,Benjamin White,DEF,Arsenal,51,0.45,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,1.15,0,0
13,Brayden Clarke,DEF,Arsenal,38,0.0,0,0
15,Josh Nichols,DEF,Arsenal,38,0.0,0,0
16,Bukayo Saka,MID,Arsenal,102,5.51,3,77
17,Martin Ødegaard,MID,Arsenal,78,3.9,3,77
18,Noni Madueke,MID,Arsenal,68,1.27,1,12
19,Gabriel Martinelli Silva,MID,Arsenal,68,0.74,0,26
20,Leandro Trossard,MID,Arsenal,70,2.23,2,63
21,Declan Rice,MID,Arsenal,72,4.54,3,90
22,Mikel Merino Zazón,MID,Arsenal,57,1.51,0,0
24,Christian Nørgaard,MID,Arsenal,51,0.25,0,0
25,Ethan Nwaneri,MID,Arsenal,50,0.52,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,52,3.12,5,90
27,Reiss Nelson,MID,Brentford,48,1.52,1,8
30,Kai Havertz,FWD,Arsenal,73,1.02,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.49,1,26
32,Emiliano Martínez Romero,GK,Aston Villa,50,3.68,1,45
33,Marco Bizot,GK,Aston Villa,42,0.03,2,45
36,Matty Cash,DEF,Aston Villa,48,3.61,6,90
37,Lucas Digne,DEF,Aston Villa,45,1.16,9,72
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,3.51,7,90
39,Ian Maatsen,DEF,Aston Villa,42,3.78,1,17
40,Tyrone Mings,DEF,Aston Villa,43,0.24,0,0
41,Pau Torres,DEF,Aston Villa,43,0.25,0,0
42,Andrés García,DEF,Aston Villa,39,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,2.21,1,8
45,Lino da Cruz Sousa,DEF,Aston Villa,39,0.01,0,0
47,Morgan Rogers,MID,Aston Villa,76,4.06,3,90
48,Youri Tielemans,MID,Aston Villa,59,3.89,3,90
50,Emiliano Buendía Stati,MID,Aston Villa,53,3.69,1,25
52,Jacob Ramsey,MID,Newcastle,53,1.34,1,14
53,Donyell Malen,MID,Aston Villa,51,2.66,1,17
54,John McGinn,MID,Aston Villa,54,3.43,3,72
55,Ross Barkley,MID,Aston Villa,48,0.0,0,0
58,Boubacar Kamara,MID,Aston Villa,49,2.94,3,81
59,Amadou Onana,MID,Aston Villa,48,0.0,0,0
60,Ben Broggio,MID,Aston Villa,44,0.01,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
63,Kadan Young,MID,Aston Villa,43,0.01,0,0
64,Ollie Watkins,FWD,Aston Villa,87,3.88,2,90
67,Đorđe Petrović,GK,Bournemouth,45,3.21,1,90
68,Will Dennis,GK,Bournemouth,40,0.0,0,0
69,Callan McKenna,GK,Bournemouth,39,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,48,4.58,6,90
73,Adam Smith,DEF,Bournemouth,44,0.93,0,0
74,Adrien Truffert,DEF,Bournemouth,45,3.53,1,90
75,Matai Akinmboni,DEF,Bournemouth,38,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,38,0.0,0,0
77,James Hill,DEF,Bournemouth,39,3.78,3,90
80,Julio Soler Barreto,DEF,Bournemouth,40,0.13,0,0
81,Justin Kluivert,MID,Bournemouth,70,0.0,0,0
82,Antoine Semenyo,MID,Bournemouth,76,4.88,6,90
83,Dango Ouattara,MID,Brentford,58,0.0,0,0
84,Marcus Tavernier,MID,Bournemouth,56,4.21,5,86
85,Tyler Adams,MID,Bournemouth,50,0.0,0,0
86,David Brooks,MID,Bournemouth,50,3.66,4,26
87,Ryan Christie,MID,Bournemouth,49,1.46,0,0
88,Lewis Cook,MID,Bournemouth,49,2.97,3,90
90,Alex Scott,MID,Bournemouth,50,3.45,4,90
97,Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,70,3.82,6,63
98,Enes Ünal,FWD,Bournemouth,54,0.52,1,26
100,Junior Kroupi,FWD,Bournemouth,46,2.24,7,63
101,Caoimhín Kelleher,GK,Brentford,45,3.92,13,90
102,Ellery Balcombe,GK,Brentford,39,0.0,0,0
103,Matthew Cox,GK,Brentford,39,0.0,0,0
104,Julian Eyestone,GK,Brentford,39,0.0,0,0
105,Hákon Rafn Valdimarsson,GK,Brentford,39,0.04,0,0
106,Nathan Collins,DEF,Brentford,49,4.93,13,90
107,Keane Lewis-Potter,DEF,Brentford,49,3.56,6,60
108,Kristoffer Ajer,DEF,Brentford,44,4.3,6,90
109,Rico Henry,DEF,Brentford,43,2.19,6,90
110,Michael Kayode,DEF,Brentford,45,3.85,6,81
111,Ethan Pinnock,DEF,Brentford,42,0.86,0,0
