id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,59,4.23,2,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,42,0.05,0,0
4,Tommy Setford,GK,Arsenal,40,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,65,0.0,0,0
6,William Saliba,DEF,Arsenal,60,4.47,2,90
7,Riccardo Calafiori,DEF,Arsenal,58,4.34,2,90
8,Jurriën Timber,DEF,Arsenal,62,4.4,5,90
10,Myles Lewis-Skelly,DEF,Arsenal,51,1.06,1,1
11,Benjamin White,DEF,Arsenal,53,0.67,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,0.0,0,0
13,Brayden Clarke,DEF,Arsenal,38,0.0,0,0
15,Josh Nichols,DEF,Arsenal,39,0.0,0,0
16,Bukayo Saka,MID,Arsenal,101,6.18,4,90
17,Martin Ødegaard,MID,Arsenal,78,0.83,0,0
18,Noni Madueke,MID,Arsenal,68,0.14,1,12
19,Gabriel Martinelli Silva,MID,Arsenal,68,0.11,0,0
20,Leandro Trossard,MID,Arsenal,69,4.37,12,77
21,Declan Rice,MID,Arsenal,69,4.53,6,90
22,Mikel Merino Zazón,MID,Arsenal,59,4.86,5,87
24,Christian Nørgaard,MID,Arsenal,52,0.56,0,0
25,Ethan Nwaneri,MID,Arsenal,51,1.0,1,2
26,Martín Zubimendi Ibáñez,MID,Arsenal,54,3.09,2,90
27,Reiss Nelson,MID,Brentford,48,0.17,0,0
30,Kai Havertz,FWD,Arsenal,73,0.14,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.58,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,50,3.3,3,90
33,Marco Bizot,GK,Aston Villa,43,0.03,0,0
36,Matty Cash,DEF,Aston Villa,46,3.48,2,90
37,Lucas Digne,DEF,Aston Villa,45,3.7,1,45
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,3.33,2,90
39,Ian Maatsen,DEF,Aston Villa,42,0.62,1,45
40,Tyrone Mings,DEF,Aston Villa,44,0.0,0,0
41,Pau Torres,DEF,Aston Villa,43,3.31,4,90
42,Andrés García,DEF,Aston Villa,39,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,0.32,1,6
45,Lino da Cruz Sousa,DEF,Aston Villa,39,0.01,0,0
47,Morgan Rogers,MID,Aston Villa,68,3.74,15,90
48,Youri Tielemans,MID,Aston Villa,59,2.18,2,83
50,Emiliano Buendía Stati,MID,Aston Villa,53,1.9,1,45
52,Jacob Ramsey,MID,Newcastle,53,0.63,0,0
53,Donyell Malen,MID,Aston Villa,51,2.23,4,45
54,John McGinn,MID,Aston Villa,54,3.12,1,67
55,Ross Barkley,MID,Aston Villa,48,0.76,4,22
58,Boubacar Kamara,MID,Aston Villa,49,2.67,4,90
59,Amadou Onana,MID,Aston Villa,48,1.96,0,0
60,Ben Broggio,MID,Aston Villa,45,0.01,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
63,Kadan Young,MID,Aston Villa,44,0.01,0,0
64,Ollie Watkins,FWD,Aston Villa,85,3.76,2,67
67,Đorđe Petrović,GK,Bournemouth,45,3.75,1,90
68,Will Dennis,GK,Bournemouth,40,0.04,0,0
69,Callan McKenna,GK,Bournemouth,40,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,50,4.87,3,90
73,Adam Smith,DEF,Bournemouth,44,0.56,1,4
74,Adrien Truffert,DEF,Bournemouth,45,4.25,0,90
75,Matai Akinmboni,DEF,Bournemouth,39,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,39,0.0,0,0
77,James Hill,DEF,Bournemouth,40,0.62,0,0
78,Julián Araujo Zúñiga,DEF,Bournemouth,39,0.07,0,0
80,Julio Soler Barreto,DEF,Bournemouth,40,0.14,0,0
81,Justin Kluivert,MID,Bournemouth,70,0.0,0,0
82,Antoine Semenyo,MID,Bournemouth,80,4.94,0,0
83,Dango Ouattara,MID,Brentford,60,3.92,5,64
84,Marcus Tavernier,MID,Bournemouth,55,4.61,7,90
85,Tyler Adams,MID,Bournemouth,50,3.21,2,79
86,David Brooks,MID,Bournemouth,50,4.04,1,60
87,Ryan Christie,MID,Bournemouth,50,0.99,1,45
88,Lewis Cook,MID,Bournemouth,49,0.56,4,90
