id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,56,3.43,2,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,43,0.04,0,0
3,Karl Hein,GK,Arsenal,40,0.0,0,0
4,Tommy Setford,GK,Arsenal,40,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,61,3.93,13,90
6,William Saliba,DEF,Arsenal,60,3.66,1,45
7,Riccardo Calafiori,DEF,Arsenal,57,2.91,1,69
8,Jurriën Timber,DEF,Arsenal,58,2.17,2,90
9,Jakub Kiwior,DEF,Arsenal,54,0.0,0,0
10,Myles Lewis-Skelly,DEF,Arsenal,53,0.71,1,2
11,Benjamin White,DEF,Arsenal,54,1.66,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,3.67,2,90
13,Brayden Clarke,DEF,Arsenal,40,0.0,0,0
16,Bukayo Saka,MID,Arsenal,98,4.19,2,69
17,Martin Ødegaard,MID,Arsenal,79,3.35,4,8
18,Noni Madueke,MID,Arsenal,70,0.0,0,0
19,Gabriel Martinelli Silva,MID,Arsenal,69,2.19,1,20
20,Leandro Trossard,MID,Arsenal,69,2.29,2,87
21,Declan Rice,MID,Arsenal,65,4.02,9,90
22,Mikel Merino Zazón,MID,Arsenal,59,2.08,6,20
23,Fábio Ferreira Vieira,MID,Arsenal,54,0.0,0,0
24,Christian Nørgaard,MID,Arsenal,53,0.35,0,0
25,Ethan Nwaneri,MID,Arsenal,53,1.15,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,55,3.41,2,81
27,Reiss Nelson,MID,Brentford,49,0.38,0,0
28,Ismeal Kabia,MID,Arsenal,45,0.0,0,0
29,Albert Sambi Lokonga,MID,Arsenal,45,0.0,0,0
30,Kai Havertz,FWD,Arsenal,73,0.0,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.0,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,50,2.58,3,90
33,Marco Bizot,GK,Aston Villa,45,0.8,0,0
34,Joe Gauci,GK,Aston Villa,40,0.0,0,0
35,Filip Marschall,GK,Aston Villa,40,0.0,0,0
36,Matty Cash,DEF,Aston Villa,46,3.47,2,90
37,Lucas Digne,DEF,Aston Villa,45,3.3,5,90
38,Ezri Konsa Ngoyo,DEF,Aston Villa,45,3.27,2,90
39,Ian Maatsen,DEF,Aston Villa,44,1.3,0,0
40,Tyrone Mings,DEF,Aston Villa,45,3.36,1,31
41,Pau Torres,DEF,Aston Villa,44,0.59,1,58
43,Álex Moreno Lopera,DEF,Aston Villa,40,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,1.52,2,81
45,Lino da Cruz Sousa,DEF,Aston Villa,40,0.01,0,0
46,Yasin Özcan,DEF,Aston Villa,40,0.0,0,0
47,Morgan Rogers,MID,Aston Villa,69,3.81,5,90
48,Youri Tielemans,MID,Aston Villa,59,0.0,0,0
49,Leon Bailey,MID,Aston Villa,55,0.0,0,0
50,Emiliano Buendía Stati,MID,Aston Villa,53,2.42,12,45
51,Samuel Iling-Junior,MID,Aston Villa,55,0.0,0,0
52,Jacob Ramsey,MID,Newcastle,53,0.0,0,0
53,Donyell Malen,MID,Aston Villa,52,2.14,1,7
54,John McGinn,MID,Aston Villa,54,3.06,6,71
55,Ross Barkley,MID,Aston Villa,48,0.0,0,0
56,Enzo Barrenechea,MID,Aston Villa,50,0.0,0,0
57,Lewis Dobbin,MID,Aston Villa,50,0.0,0,0
58,Boubacar Kamara,MID,Aston Villa,49,2.35,1,18
59,Amadou Onana,MID,Aston Villa,49,0.0,0,0
60,Ben Broggio,MID,Aston Villa,45,0.01,0,0
61,Leander Dendoncker,MID,Aston Villa,45,0.0,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
63,Kadan Young,MID,Aston Villa,44,0.01,0,0
64,Ollie Watkins,FWD,Aston Villa,87,4.73,8,90
65,Zépiqueno Redmond,FWD,Aston Villa,45,0.0,0,0
66,Norberto Murara Neto,GK,Bournemouth,45,0.0,0,0
67,Đorđe Petrović,GK,Bournemouth,45,3.22,3,90
68,Will Dennis,GK,Bournemouth,40,0.03,0,0
69,Callan McKenna,GK,Bournemouth,40,0.0,0,0
70,Alex Paulsen,GK,Bournemouth,40,0.0,0,0
71,Illia Zabarnyi,DEF,Bournemouth,50,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,48,3.57,7,90
73,Adam Smith,DEF,Bournemouth,44,0.0,0,0
74,Adrien Truffert,DEF,Bournemouth,45,3.26,3,90
75,Matai Akinmboni,DEF,Bournemouth,40,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,40,0.0,0,0
77,James Hill,DEF,Bournemouth,40,1.8,0,0
78,Julián Araujo Zúñiga,DEF,Bournemouth,40,0.52,0,0
79,Chris Mepham,DEF,Bournemouth,40,0.0,0,0
80,Julio Soler Barreto,DEF,Bournemouth,40,0.4,0,0
81,Justin Kluivert,MID,Bournemouth,70,2.66,1,59
82,Antoine Semenyo,MID,Bournemouth,77,4.37,7,90
83,Dango Ouattara,MID,Brentford,60,3.55,2,74
84,Marcus Tavernier,MID,Bournemouth,55,3.61,1,30
85,Tyler Adams,MID,Bournemouth,50,3.14,2,80
86,David Brooks,MID,Bournemouth,50,2.91,1,30
87,Ryan Christie,MID,Bournemouth,50,1.29,4,59
88,Lewis Cook,MID,Bournemouth,49,0.74,0,0
89,Philip Billing,MID,Bournemouth,49,0.0,0,0
90,Alex Scott,MID,Bournemouth,50,2.85,1,30
91,Luis Sinisterra Lucumí,MID,Bournemouth,50,0.0,0,0
92,Romain Faivre,MID,Bournemouth,45,0.0,0,0
93,Hamed Traorè,MID,Bournemouth,45,0.0,0,0
94,Dominic Sadi,MID,Bournemouth,45,0.0,0,0
95,Zain Silcott-Duberry,MID,Bournemouth,44,0.0,0,0
96,Ben Winterburn,MID,Bournemouth,45,0.0,0,0
97,Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,70,4.21,2,90
98,Enes Ünal,FWD,Bournemouth,55,0.0,0,0
99,Daniel Adu-Adjei,FWD,Bournemouth,44,0.0,0,0
100,Junior Kroupi,FWD,Bournemouth,45,1.17,12,18
101,Caoimhín Kelleher,GK,Brentford,45,3.41,8,90
102,Ellery Balcombe,GK,Brentford,40,0.0,0,0
103,Matthew Cox,GK,Brentford,40,0.0,0,0
104,Julian Eyestone,GK,Brentford,40,0.0,0,0
105,Hákon Rafn Valdimarsson,GK,Brentford,40,0.03,0,0
106,Nathan Collins,DEF,Brentford,50,3.15,1,90
107,Keane Lewis-Potter,DEF,Brentford,50,2.1,1,15
108,Kristoffer Ajer,DEF,Brentford,44,0.82,0,0
109,Rico Henry,DEF,Brentford,44,1.66,1,15
110,Michael Kayode,DEF,Brentford,45,2.67,2,90
111,Ethan Pinnock,DEF,Brentford,44,1.85,0,0
112,Mads Roerslev Rasmussen,DEF,Brentford,45,0.0,0,0
113,Sepp van den Berg,DEF,Brentford,45,3.03,2,90
114,Benjamin Arthur,DEF,Brentford,40,0.02,0,0
115,Benjamin Fredrick,DEF,Brentford,40,0.0,0,0
116,Aaron Hickey,DEF,Brentford,40,0.33,2,74
118,Jayden Meghoma,DEF,Brentford,40,0.0,0,0
119,Bryan Mbeumo,MID,Man Utd,81,4.85,2,90
120,Kevin Schade,MID,Brentford,70,4.04,4,90
121,Mikkel Damsgaard,MID,Brentford,59,3.54,2,80
