id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,55,4.2,6,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,44,0.05,0,0
3,Karl Hein,GK,Arsenal,40,0.0,0,0
4,Tommy Setford,GK,Arsenal,40,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,61,4.73,9,90
6,William Saliba,DEF,Arsenal,61,1.42,0,0
7,Riccardo Calafiori,DEF,Arsenal,57,3.65,5,67
8,Jurriën Timber,DEF,Arsenal,57,3.5,8,90
9,Jakub Kiwior,DEF,Arsenal,54,0.0,0,0
10,Myles Lewis-Skelly,DEF,Arsenal,54,0.85,1,22
11,Benjamin White,DEF,Arsenal,54,2.45,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,0.0,0,0
13,Brayden Clarke,DEF,Arsenal,40,0.0,0,0
14,Maldini Kacurri,DEF,Arsenal,40,0.0,0,0
15,Josh Nichols,DEF,Arsenal,40,0.0,0,0
16,Bukayo Saka,MID,Arsenal,98,0.44,0,0
17,Martin Ødegaard,MID,Arsenal,79,4.58,1,17
18,Noni Madueke,MID,Arsenal,70,4.64,3,78
19,Gabriel Martinelli Silva,MID,Arsenal,69,3.26,1,12
20,Leandro Trossard,MID,Arsenal,69,2.24,4,11
21,Declan Rice,MID,Arsenal,65,4.28,1,22
22,Mikel Merino Zazón,MID,Arsenal,59,1.43,3,90
23,Fábio Ferreira Vieira,MID,Arsenal,54,0.0,0,0
24,Christian Nørgaard,MID,Arsenal,54,0.36,0,0
25,Ethan Nwaneri,MID,Arsenal,54,1.11,3,72
26,Martín Zubimendi Ibáñez,MID,Arsenal,54,3.4,16,90
27,Reiss Nelson,MID,Brentford,49,0.96,0,0
28,Ismeal Kabia,MID,Arsenal,45,0.0,0,0
29,Albert Sambi Lokonga,MID,Arsenal,45,0.0,0,0
30,Kai Havertz,FWD,Arsenal,74,0.0,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,65,0.0,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,50,1.86,6,90
33,Marco Bizot,GK,Aston Villa,45,0.98,0,0
34,Joe Gauci,GK,Aston Villa,40,0.0,0,0
35,Filip Marschall,GK,Aston Villa,40,0.0,0,0
36,Matty Cash,DEF,Aston Villa,45,3.11,5,90
37,Lucas Digne,DEF,Aston Villa,45,2.37,5,90
38,Ezri Konsa Ngoyo,DEF,Aston Villa,45,3.11,6,90
39,Ian Maatsen,DEF,Aston Villa,44,1.83,0,0
40,Tyrone Mings,DEF,Aston Villa,45,2.88,9,90
41,Pau Torres,DEF,Aston Villa,44,0.91,0,0
43,Álex Moreno Lopera,DEF,Aston Villa,40,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,0.35,9,82
45,Lino da Cruz Sousa,DEF,Aston Villa,40,0.01,0,0
46,Yasin Özcan,DEF,Aston Villa,40,0.0,0,0
47,Morgan Rogers,MID,Aston Villa,70,3.64,3,90
48,Youri Tielemans,MID,Aston Villa,59,3.92,1,45
49,Leon Bailey,MID,Aston Villa,55,0.0,0,0
50,Emiliano Buendía Stati,MID,Aston Villa,53,1.04,2,70
51,Samuel Iling-Junior,MID,Aston Villa,55,0.0,0,0
52,Jacob Ramsey,MID,Newcastle,54,0.0,0,0
53,Donyell Malen,MID,Aston Villa,53,2.54,1,7
54,John McGinn,MID,Aston Villa,55,2.94,3,90
55,Ross Barkley,MID,Aston Villa,49,0.0,0,0
56,Enzo Barrenechea,MID,Aston Villa,50,0.0,0,0
57,Lewis Dobbin,MID,Aston Villa,50,0.0,0,0
58,Boubacar Kamara,MID,Aston Villa,49,0.0,0,0
59,Amadou Onana,MID,Aston Villa,50,0.0,0,0
60,Ben Broggio,MID,Aston Villa,45,0.01,0,0
61,Leander Dendoncker,MID,Aston Villa,45,0.0,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
63,Kadan Young,MID,Aston Villa,45,0.01,0,0
64,Ollie Watkins,FWD,Aston Villa,89,4.26,2,82
65,Zépiqueno Redmond,FWD,Aston Villa,45,0.0,0,0
66,Norberto Murara Neto,GK,Bournemouth,45,0.0,0,0
67,Đorđe Petrović,GK,Bournemouth,45,3.0,2,90
68,Will Dennis,GK,Bournemouth,40,0.03,0,0
69,Callan McKenna,GK,Bournemouth,40,0.0,0,0
70,Alex Paulsen,GK,Bournemouth,40,0.0,0,0
71,Illia Zabarnyi,DEF,Bournemouth,50,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,46,3.51,3,90
73,Adam Smith,DEF,Bournemouth,45,0.0,0,0
74,Adrien Truffert,DEF,Bournemouth,45,3.22,2,90
75,Matai Akinmboni,DEF,Bournemouth,40,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,40,0.0,0,0
77,James Hill,DEF,Bournemouth,40,1.24,2,86
78,Julián Araujo Zúñiga,DEF,Bournemouth,40,0.94,0,0
79,Chris Mepham,DEF,Bournemouth,40,0.0,0,0
80,Julio Soler Barreto,DEF,Bournemouth,40,0.4,1,1
81,Justin Kluivert,MID,Bournemouth,70,4.16,1,23
82,Antoine Semenyo,MID,Bournemouth,74,4.41,13,90
83,Dango Ouattara,MID,Brentford,60,3.67,1,17
84,Marcus Tavernier,MID,Bournemouth,55,3.22,2,85
85,Tyler Adams,MID,Bournemouth,50,3.05,1,90
86,David Brooks,MID,Bournemouth,50,1.78,1,66
87,Ryan Christie,MID,Bournemouth,50,1.48,0,0
