id,name,position,team,now_cost,expected_points,total_points
541,Reinildo Mandava,DEF,Sunderland,38,3.92,11
805,Lorenzo Lucca,FWD,Nott'm Forest,55,0.2,0
87,Ryan Christie,MID,Bournemouth,49,3.1,1
765,Leo Shahar,DEF,Newcastle,40,0.0,0
216,Zeki Amdouni,FWD,Burnley,48,0.0,0
612,Lucas Tolentino Coelho de Lima,MID,West Ham,59,0.0,0
672,Jorrel Hato,DEF,Chelsea,46,1.04,0
193,Bashir Humphreys,DEF,Burnley,39,2.47,3
92,Romain Faivre,MID,Bournemouth,45,0.0,0
203,Enock Agyei,MID,Burnley,47,0.0,0
306,Callum Bates,MID,Everton,43,0.01,0
574,Destiny Udogie,DEF,Spurs,43,2.23,1
529,Simon Moore,GK,Sunderland,39,0.0,0
593,Pape Matar Sarr,MID,Spurs,45,1.97,1
105,Hákon Rafn Valdimarsson,GK,Brentford,39,0.03,0
460,Toby Collyer,MID,Man Utd,45,0.0,0
72,Marcos Senesi Barón,DEF,Bournemouth,48,4.6,8
386,Alexis Mac Allister,MID,Liverpool,62,3.35,1
643,André Trindade da Costa Neto,MID,Wolves,53,2.4,3
323,Samuel Amissah,DEF,Fulham,38,0.06,0
326,Adama Traoré Diarra,MID,West Ham,51,0.68,0
166,Yasin Ayari,MID,Brighton,48,2.44,6
422,Mateo Kovačić,MID,Man City,59,0.0,0
310,Thierno Barry,FWD,Everton,57,3.25,2
608,Ollie Scarles,DEF,West Ham,43,0.71,0
410,Rico Lewis,DEF,Man City,46,0.51,0
350,Brenden Aaronson,MID,Leeds,54,3.13,2
561,Eliezer Mayenda Dossou,FWD,Sunderland,52,1.3,0
770,Seth Ridgeon,MID,Fulham,45,0.01,0
315,Steven Benda,GK,Fulham,40,0.0,0
10,Myles Lewis-Skelly,DEF,Arsenal,51,0.53,0
633,Hugo Bueno López,DEF,Wolves,43,3.52,2
546,Milan Aleksić,MID,Sunderland,49,0.06,0
637,Toti Gomes,DEF,Wolves,42,0.0,0
267,Ismaïla Sarr,MID,Crystal Palace,63,4.24,7
406,Abdukodir Khusanov,DEF,Man City,54,3.43,0
690,Rio Cardines,MID,Crystal Palace,44,0.04,0
453,Alejandro Garnacho Ferreyra,MID,Chelsea,64,3.9,1
808,Tammy Abraham,FWD,Aston Villa,60,2.65,2
242,Kiernan Dewsbury-Hall,MID,Everton,49,3.5,2
478,Kieran Trippier,DEF,Newcastle,49,2.2,1
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,55,3.01,4
477,Tino Livramento,DEF,Newcastle,49,0.0,0
320,Issa Diop,DEF,Fulham,43,0.14,0
599,Dane Scarlett,FWD,Spurs,43,0.03,0
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,3.6,2
265,Caleb Kporha,DEF,Crystal Palace,40,0.0,0
768,Leon Routh,DEF,Aston Villa,40,0.01,0
591,Archie Gray,MID,Spurs,48,0.99,2
552,Noah Sadiki,MID,Sunderland,49,3.15,3
415,Sávio Moreira de Oliveira,MID,Man City,69,0.0,0
106,Nathan Collins,DEF,Brentford,50,3.88,1
459,Manuel Ugarte Ribeiro,MID,Man Utd,47,0.69,1
473,Lewis Hall,DEF,Newcastle,53,2.77,3
230,Wesley Fofana,DEF,Chelsea,44,0.59,4
536,Leo Fuhr Hjelde,DEF,Sunderland,40,0.0,0
270,Will Hughes,MID,Crystal Palace,47,2.65,2
456,Jadon Sancho,MID,Aston Villa,58,2.65,2
697,Amine Adli,MID,Bournemouth,54,3.91,5
575,Micky van de Ven,DEF,Spurs,46,1.17,0
606,Konstantinos Mavropanos,DEF,West Ham,44,2.64,3
631,Emmanuel Agbadou,DEF,Wolves,42,2.92,3
424,Oscar Bobb,MID,Fulham,51,0.0,0
124,Jordan Henderson,MID,Brentford,50,0.92,1
