id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,55,3.51,2,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,44,0.04,0,0
3,Karl Hein,GK,Arsenal,40,0.0,0,0
4,Tommy Setford,GK,Arsenal,40,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,61,3.82,2,90
6,William Saliba,DEF,Arsenal,60,2.86,2,90
7,Riccardo Calafiori,DEF,Arsenal,57,2.94,2,90
8,Jurriën Timber,DEF,Arsenal,57,2.95,1,79
9,Jakub Kiwior,DEF,Arsenal,54,0.0,0,0
10,Myles Lewis-Skelly,DEF,Arsenal,53,0.74,0,0
11,Benjamin White,DEF,Arsenal,54,0.98,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,3.13,2,90
13,Brayden Clarke,DEF,Arsenal,40,0.0,0,0
16,Bukayo Saka,MID,Arsenal,98,1.01,1,45
17,Martin Ødegaard,MID,Arsenal,79,2.19,0,0
18,Noni Madueke,MID,Arsenal,70,3.73,1,45
19,Gabriel Martinelli Silva,MID,Arsenal,69,2.38,7,10
20,Leandro Trossard,MID,Arsenal,69,1.81,2,83
21,Declan Rice,MID,Arsenal,65,3.82,3,90
22,Mikel Merino Zazón,MID,Arsenal,59,3.06,1,45
23,Fábio Ferreira Vieira,MID,Arsenal,54,0.0,0,0
24,Christian Nørgaard,MID,Arsenal,54,0.36,0,0
25,Ethan Nwaneri,MID,Arsenal,53,1.25,1,6
26,Martín Zubimendi Ibáñez,MID,Arsenal,54,3.38,2,90
27,Reiss Nelson,MID,Brentford,49,0.68,0,0
28,Ismeal Kabia,MID,Arsenal,45,0.0,0,0
29,Albert Sambi Lokonga,MID,Arsenal,45,0.0,0,0
30,Kai Havertz,FWD,Arsenal,73,0.0,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,65,0.0,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,50,3.36,3,90
33,Marco Bizot,GK,Aston Villa,45,0.17,0,0
34,Joe Gauci,GK,Aston Villa,40,0.0,0,0
35,Filip Marschall,GK,Aston Villa,40,0.0,0,0
36,Matty Cash,DEF,Aston Villa,45,3.69,10,90
37,Lucas Digne,DEF,Aston Villa,45,3.48,1,57
38,Ezri Konsa Ngoyo,DEF,Aston Villa,45,3.43,2,90
39,Ian Maatsen,DEF,Aston Villa,44,1.34,0,32
40,Tyrone Mings,DEF,Aston Villa,45,3.45,4,90
41,Pau Torres,DEF,Aston Villa,44,0.61,0,0
43,Álex Moreno Lopera,DEF,Aston Villa,40,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,1.89,1,8
45,Lino da Cruz Sousa,DEF,Aston Villa,40,0.01,0,0
46,Yasin Özcan,DEF,Aston Villa,40,0.0,0,0
47,Morgan Rogers,MID,Aston Villa,70,3.91,2,81
48,Youri Tielemans,MID,Aston Villa,59,0.0,0,0
49,Leon Bailey,MID,Aston Villa,55,0.0,0,0
50,Emiliano Buendía Stati,MID,Aston Villa,53,2.43,1,57
51,Samuel Iling-Junior,MID,Aston Villa,55,0.0,0,0
52,Jacob Ramsey,MID,Newcastle,54,0.0,0,0
53,Donyell Malen,MID,Aston Villa,52,2.26,1,17
54,John McGinn,MID,Aston Villa,55,3.18,2,90
55,Ross Barkley,MID,Aston Villa,49,0.0,0,0
56,Enzo Barrenechea,MID,Aston Villa,50,0.0,0,0
57,Lewis Dobbin,MID,Aston Villa,50,0.0,0,0
58,Boubacar Kamara,MID,Aston Villa,49,1.98,6,81
59,Amadou Onana,MID,Aston Villa,49,0.0,0,0
60,Ben Broggio,MID,Aston Villa,45,0.01,0,0
61,Leander Dendoncker,MID,Aston Villa,45,0.0,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
63,Kadan Young,MID,Aston Villa,45,0.01,0,0
64,Ollie Watkins,FWD,Aston Villa,88,4.56,2,90
65,Zépiqueno Redmond,FWD,Aston Villa,45,0.0,0,0
66,Norberto Murara Neto,GK,Bournemouth,45,0.0,0,0
67,Đorđe Petrović,GK,Bournemouth,45,3.22,6,90
68,Will Dennis,GK,Bournemouth,40,0.03,0,0
69,Callan McKenna,GK,Bournemouth,40,0.0,0,0
70,Alex Paulsen,GK,Bournemouth,40,0.0,0,0
71,Illia Zabarnyi,DEF,Bournemouth,50,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,47,4.06,9,90
73,Adam Smith,DEF,Bournemouth,45,0.0,0,0
74,Adrien Truffert,DEF,Bournemouth,45,3.29,9,90
75,Matai Akinmboni,DEF,Bournemouth,40,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,40,0.0,0,0
77,James Hill,DEF,Bournemouth,40,2.23,1,45
78,Julián Araujo Zúñiga,DEF,Bournemouth,40,0.51,0,0
