id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,55,4.25,6,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,45,0.05,0,0
3,Karl Hein,GK,Arsenal,40,0.0,0,0
4,Tommy Setford,GK,Arsenal,40,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,60,5.2,6,90
6,William Saliba,DEF,Arsenal,60,4.81,6,90
7,Riccardo Calafiori,DEF,Arsenal,55,2.65,13,63
8,Jurriën Timber,DEF,Arsenal,55,3.22,24,63
9,Jakub Kiwior,DEF,Arsenal,55,0.24,0,0
10,Myles Lewis-Skelly,DEF,Arsenal,55,2.52,1,26
11,Benjamin White,DEF,Arsenal,55,1.61,0,0
12,Oleksandr Zinchenko,DEF,Arsenal,50,0.34,0,0
13,Brayden Clarke,DEF,Arsenal,40,0.0,0,0
14,Maldini Kacurri,DEF,Arsenal,40,0.0,0,0
15,Josh Nichols,DEF,Arsenal,40,0.0,0,0
16,Bukayo Saka,MID,Arsenal,100,6.65,6,52
17,Martin Ødegaard,MID,Arsenal,80,5.14,1,37
18,Noni Madueke,MID,Arsenal,70,2.46,3,63
19,Gabriel Martinelli Silva,MID,Arsenal,70,3.68,0,0
20,Leandro Trossard,MID,Arsenal,70,2.56,1,37
21,Declan Rice,MID,Arsenal,65,4.79,6,90
22,Mikel Merino Zazón,MID,Arsenal,60,2.02,0,0
23,Fábio Ferreira Vieira,MID,Arsenal,55,0.27,0,0
24,Christian Nørgaard,MID,Arsenal,55,0.0,0,0
25,Ethan Nwaneri,MID,Arsenal,55,1.31,1,52
26,Martín Zubimendi Ibáñez,MID,Arsenal,55,3.63,3,90
27,Reiss Nelson,MID,Arsenal,50,0.11,0,0
28,Ismeal Kabia,MID,Arsenal,45,0.0,0,0
29,Albert Sambi Lokonga,MID,Arsenal,45,0.03,0,0
30,Kai Havertz,FWD,Arsenal,75,0.0,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,65,0.0,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,50,3.51,2,90
33,Marco Bizot,GK,Aston Villa,45,0.04,0,0
34,Joe Gauci,GK,Aston Villa,40,0.0,0,0
35,Filip Marschall,GK,Aston Villa,40,0.0,0,0
36,Matty Cash,DEF,Aston Villa,45,3.25,2,90
37,Lucas Digne,DEF,Aston Villa,45,2.71,2,63
38,Ezri Konsa Ngoyo,DEF,Aston Villa,45,0.0,0,0
39,Ian Maatsen,DEF,Aston Villa,45,2.07,1,26
40,Tyrone Mings,DEF,Aston Villa,45,3.61,2,90
41,Pau Torres,DEF,Aston Villa,45,2.49,2,90
42,Andrés García,DEF,Aston Villa,40,0.0,0,0
43,Álex Moreno Lopera,DEF,Aston Villa,40,0.24,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,0.47,0,16
45,Lino da Cruz Sousa,DEF,Aston Villa,40,0.0,0,0
46,Yasin Özcan,DEF,Aston Villa,40,0.0,0,0
47,Morgan Rogers,MID,Aston Villa,70,4.13,2,90
48,Youri Tielemans,MID,Aston Villa,60,4.29,2,90
49,Leon Bailey,MID,Aston Villa,55,0.0,0,0
50,Emiliano Buendía Stati,MID,Aston Villa,54,0.67,1,58
51,Samuel Iling-Junior,MID,Aston Villa,55,0.28,0,0
52,Jacob Ramsey,MID,Newcastle,55,1.59,1,14
53,Donyell Malen,MID,Aston Villa,54,3.19,1,26
54,John McGinn,MID,Aston Villa,55,2.87,2,73
55,Ross Barkley,MID,Aston Villa,50,0.0,0,0
56,Enzo Barrenechea,MID,Aston Villa,50,0.0,0,0
57,Lewis Dobbin,MID,Aston Villa,50,0.03,0,0
58,Boubacar Kamara,MID,Aston Villa,50,2.89,1,15
59,Amadou Onana,MID,Aston Villa,50,2.9,1,63
60,Ben Broggio,MID,Aston Villa,45,0.0,0,0
61,Leander Dendoncker,MID,Aston Villa,45,0.0,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
63,Kadan Young,MID,Aston Villa,45,0.0,0,0
64,Ollie Watkins,FWD,Aston Villa,90,4.91,2,90
65,Zépiqueno Redmond,FWD,Aston Villa,45,0.0,0,0
66,Norberto Murara Neto,GK,Bournemouth,45,0.0,0,0
67,Đorđe Petrović,GK,Bournemouth,45,3.6,6,90
68,Will Dennis,GK,Bournemouth,40,0.03,0,0
69,Callan McKenna,GK,Bournemouth,40,0.0,0,0
70,Alex Paulsen,GK,Bournemouth,40,0.03,0,0
71,Illia Zabarnyi,DEF,Bournemouth,50,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,45,4.06,9,90
